Numero de jugada;MOC1;MOC2;MOC3;MOC4;MOC5;MOC6;MOC7;MOC8;MOC9;MOC10;MOC11;MOC12;MOC13;MOC14;MOC15;MOC16
60;0;13;0;2;0;0;5;0;0;0;0;0;0;0;1;2
61;0;14;0;3;1;1;6;0;0;1;1;0;0;0;2;3
62;0;15;0;4;0;0;7;0;0;2;2;1;1;0;3;4
63;0;16;0;5;0;0;8;0;0;0;3;2;2;0;4;0
64;0;0;0;0;0;1;9;0;0;0;4;3;3;1;5;1
65;0;0;1;0;0;2;10;0;1;1;5;4;0;0;6;2
66;0;0;2;0;1;3;11;0;2;2;6;0;0;0;7;3
67;0;0;3;1;2;4;12;0;3;0;0;0;0;0;0;4
68;0;0;4;0;3;0;0;0;4;1;0;0;0;0;0;5
69;0;0;0;0;4;1;1;0;5;2;1;0;0;0;0;6
70;0;0;0;0;5;2;0;0;0;3;2;0;0;0;1;7
71;0;0;1;0;0;3;0;0;0;4;3;1;0;0;2;8
72;0;1;2;0;0;4;0;1;0;0;4;2;0;0;3;9
73;0;2;0;1;1;5;1;0;0;0;5;3;1;0;4;10
74;0;3;1;0;2;6;0;1;0;0;0;4;2;0;5;11
75;0;4;2;0;3;7;0;2;1;1;0;0;3;0;6;12
76;0;5;0;0;4;8;0;0;2;0;0;1;4;1;7;0
77;0;6;0;0;5;9;0;1;0;0;0;2;5;2;8;0
78;1;7;1;1;6;10;0;2;0;0;1;0;0;3;9;1
79;0;8;2;2;7;11;1;0;0;0;2;0;0;4;0;2
80;0;9;3;3;8;12;2;1;0;0;0;0;1;5;0;3
81;0;0;0;4;0;0;3;0;0;0;1;0;0;6;1;4
82;0;0;0;5;0;0;0;0;0;0;2;0;0;7;2;5
83;0;0;0;6;1;0;0;0;0;1;3;0;1;8;3;6
84;0;0;1;7;2;0;0;0;0;2;4;1;2;9;0;0
85;0;0;0;8;3;0;1;0;0;3;5;2;3;10;1;0
86;0;1;0;0;4;0;0;0;0;0;6;0;4;11;2;1
87;0;2;0;0;5;0;0;0;1;1;7;1;0;12;3;2
88;0;3;0;1;0;0;0;0;2;2;0;2;0;13;0;3
89;0;4;0;2;0;0;0;0;3;3;1;3;1;14;0;4
90;0;5;0;3;0;1;0;0;4;4;0;4;2;15;1;5
91;0;6;0;4;0;2;0;0;5;0;0;5;3;16;2;0
92;0;7;0;5;1;3;0;0;6;0;0;6;4;17;3;0
93;0;8;0;6;0;0;1;1;7;0;0;0;5;18;4;1
94;0;9;0;7;1;0;0;0;0;0;1;0;6;19;5;2
95;0;10;0;8;2;0;0;0;0;0;2;0;7;0;6;0
96;0;11;0;0;3;0;0;0;0;1;0;1;8;0;7;0
97;0;12;1;0;4;0;0;0;1;2;0;2;0;0;0;0
98;0;13;2;0;5;0;0;1;0;0;0;3;0;0;0;1
99;0;14;3;0;6;1;0;0;0;0;0;4;1;0;1;2
100;1;15;4;0;7;2;1;0;0;0;0;5;2;0;2;3
